customer_id,transaction_date,amount,product_category
1,2025-01-15,150.50,Electronics
1,2025-02-20,75.00,Books
2,2025-01-10,299.99,Electronics
2,2025-03-05,45.00,Books
3,2025-01-25,89.99,Books
3,2025-02-10,125.00,Electronics
3,2025-03-15,200.00,Electronics
4,2025-01-05,350.00,Electronics
5,2025-02-28,55.00,Books
5,2025-03-20,95.00,Books
6,2025-01-18,175.50,Electronics
6,2025-02-25,110.00,Electronics
7,2025-01-30,65.00,Books
8,2025-02-12,280.00,Electronics
8,2025-03-08,42.00,Books
9,2025-01-22,195.00,Electronics
10,2025-02-15,78.00,Books
10,2025-03-12,155.00,Electronics
