customer_id,transaction_date,amount,product_category,day_of_week,dow_numeric,hour_of_day,week_number,days_since_purchase,total_spend,transaction_count,first_purchase,last_purchase
1,2025-01-15,150.5,Electronics,Wednesday,2,0,3,565,225.5,2,2025-01-15,2025-02-20
1,2025-02-20,75.0,Books,Thursday,3,0,8,529,225.5,2,2025-01-15,2025-02-20
2,2025-01-10,299.99,Electronics,Friday,4,0,2,570,344.99,2,2025-01-10,2025-03-05
2,2025-03-05,45.0,Books,Wednesday,2,0,10,516,344.99,2,2025-01-10,2025-03-05
3,2025-01-25,89.99,Books,Saturday,5,0,4,555,414.99,3,2025-01-25,2025-03-15
3,2025-02-10,125.0,Electronics,Monday,0,0,7,539,414.99,3,2025-01-25,2025-03-15
3,2025-03-15,200.0,Electronics,Saturday,5,0,11,506,414.99,3,2025-01-25,2025-03-15
4,2025-01-05,350.0,Electronics,Sunday,6,0,1,575,350.0,1,2025-01-05,2025-01-05
5,2025-02-28,55.0,Books,Friday,4,0,9,521,150.0,2,2025-02-28,2025-03-20
5,2025-03-20,95.0,Books,Thursday,3,0,12,501,150.0,2,2025-02-28,2025-03-20
6,2025-01-18,175.5,Electronics,Saturday,5,0,3,562,285.5,2,2025-01-18,2025-02-25
6,2025-02-25,110.0,Electronics,Tuesday,1,0,9,524,285.5,2,2025-01-18,2025-02-25
7,2025-01-30,65.0,Books,Thursday,3,0,5,550,65.0,1,2025-01-30,2025-01-30
8,2025-02-12,280.0,Electronics,Wednesday,2,0,7,537,322.0,2,2025-02-12,2025-03-08
8,2025-03-08,42.0,Books,Saturday,5,0,10,513,322.0,2,2025-02-12,2025-03-08
9,2025-01-22,195.0,Electronics,Wednesday,2,0,4,558,195.0,1,2025-01-22,2025-01-22
10,2025-02-15,78.0,Books,Saturday,5,0,7,534,233.0,2,2025-02-15,2025-03-12
10,2025-03-12,155.0,Electronics,Wednesday,2,0,11,509,233.0,2,2025-02-15,2025-03-12
