user_id,video_id,watch_duration,pause_count,completion_rate,transaction_date,amount,is_active
101,V001,1200,2,85,2026-07-28,1200.50,True
102,V002,900,1,70,2026-07-29,900.00,False
103,V003,1500,3,95,2026-07-30,1500.75,True
104,V004,1100,2,80,2026-07-31,1100.00,True
105,V005,800,1,60,2026-08-01,750.50,False
106,V006,1700,4,98,2026-08-02,1800.00,True
107,V007,650,3,55,2026-08-03,600.00,False
108,V008,1400,2,90,2026-08-04,1400.25,True
109,V009,1000,1,75,2026-08-05,950.00,False
110,V010,1600,3,92,2026-08-06,1650.00,True
